PlayerValue,DealerValue,Result,InitialBalance,FinalBalance
22,10,l,8295,8245
23,8,l,8245,8195
19,8,t,8195,8195
21,2,w,8195,8245
20,10,w,8245,8295
16,3,l,8295,8245
18,4,w,8245,8295
25,8,l,8295,8245
17,10,l,8245,8195
19,3,w,8195,8245
16,5,w,8245,8295
20,9,w,8295,8345
12,6,l,8345,8295
14,4,w,8295,8345
20,10,t,8345,8345
17,2,w,8345,8395
26,9,l,8395,8345
19,9,l,8345,8295
19,8,w,8295,8345
14,5,l,8345,8295
23,8,l,8295,8245
20,11,w,8245,8295
20,9,w,8295,8345
19,8,w,8345,8395
17,10,l,8395,8345
17,10,l,8345,8295
13,4,w,8295,8345
18,11,t,8345,8345
17,6,w,8345,8395
21,3,w,8395,8445
12,4,w,8445,8495
20,9,t,8495,8495
20,6,w,8495,8545
17,6,l,8545,8495
21,11,w,8495,8545
13,4,w,8545,8595
20,10,w,8595,8645
22,8,l,8645,8595
15,3,w,8595,8645
21,2,w,8645,8695
16,2,l,8695,8645
15,2,l,8645,8595
15,5,w,8595,8645
14,4,l,8645,8595
25,10,l,8595,8545
21,3,w,8545,8595
26,7,l,8595,8545
20,5,t,8545,8545
23,10,l,8545,8495
20,5,w,8495,8545
19,7,t,8545,8545
23,7,l,8545,8495
15,4,l,8495,8445
18,3,w,8445,8495
20,9,w,8495,8545
13,2,l,8545,8495
20,7,w,8495,8545
26,9,l,8545,8495
17,6,w,8495,8545
23,8,l,8545,8495
21,5,w,8495,8545
22,10,l,8545,8495
13,3,w,8495,8545
19,10,t,8545,8545
23,10,l,8545,8495
12,5,l,8495,8445
17,11,t,8445,8445
20,3,w,8445,8495
17,8,t,8495,8495
20,10,t,8495,8495
21,2,w,8495,8545
24,10,l,8545,8495
15,5,l,8495,8445
19,2,t,8445,8445
13,3,w,8445,8495
14,4,w,8495,8545
12,5,w,8545,8595
22,10,l,8595,8545
17,11,l,8545,8495
25,10,l,8495,8445
20,2,w,8445,8495
12,6,w,8495,8545
18,10,t,8545,8545
15,5,l,8545,8495
20,10,l,8495,8445
17,11,l,8445,8395
20,9,w,8395,8445
12,4,w,8445,8495
23,11,l,8495,8445
19,8,w,8445,8495
15,3,w,8495,8545
16,6,w,8545,8595
17,6,l,8595,8545
18,9,w,8545,8595
21,5,w,8595,8645
22,10,l,8645,8595
20,7,w,8595,8645
23,10,l,8645,8595
20,7,w,8595,8645
18,10,t,8645,8645
17,9,t,8645,8645
15,4,l,8645,8595
18,6,w,8595,8645
17,7,l,8645,8595
15,6,l,8595,8545
23,10,l,8545,8495
13,3,w,8495,8545
22,11,l,8545,8495
18,10,w,8495,8545
19,10,w,8545,8595
19,10,l,8595,8545
20,10,w,8545,8595
18,5,l,8595,8545
16,6,l,8545,8495
21,11,t,8495,8495
20,9,w,8495,8545
15,2,l,8545,8495
16,2,l,8495,8445
17,11,l,8445,8395
17,4,w,8395,8445
16,3,l,8445,8395
17,10,t,8395,8395
25,9,l,8395,8345
20,10,t,8345,8345
20,10,w,8345,8395
25,8,l,8395,8345
24,10,l,8345,8295
19,10,l,8295,8245
22,11,l,8245,8195
14,5,w,8195,8245
15,2,l,8245,8195
12,5,l,8195,8145
20,10,w,8145,8195
20,10,t,8195,8195
23,10,l,8195,8145
16,4,w,8145,8195
14,3,l,8195,8145
18,4,l,8145,8095
20,4,w,8095,8145
22,10,l,8145,8095
12,6,w,8095,8145
23,10,l,8145,8095
20,5,w,8095,8145
19,7,t,8145,8145
12,5,l,8145,8095
18,4,l,8095,8045
21,9,w,8045,8095
14,6,l,8095,8045
20,3,w,8045,8095
22,2,l,8095,8045
17,8,w,8045,8095
19,2,w,8095,8145
24,8,l,8145,8095
20,7,w,8095,8145
18,7,w,8145,8195
24,7,l,8195,8145
19,7,t,8145,8145
15,4,l,8145,8095
26,10,l,8095,8045
19,6,w,8045,8095
20,7,w,8095,8145
18,10,l,8145,8095
16,3,w,8095,8145
19,3,w,8145,8195
23,10,l,8195,8145
16,3,l,8145,8095
18,10,l,8095,8045
18,7,t,8045,8045
25,8,l,8045,7995
22,8,l,7995,7945
19,10,l,7945,7895
17,8,w,7895,7945
18,11,w,7945,7995
19,11,l,7995,7945
20,7,w,7945,7995
17,10,w,7995,8045
21,9,w,8045,8095
18,10,l,8095,8045
15,2,l,8045,7995
18,10,w,7995,8045
15,6,w,8045,8095
22,8,l,8095,8045
26,7,l,8045,7995
17,2,w,7995,8045
20,10,w,8045,8095
19,10,w,8095,8145
19,8,l,8145,8095
22,2,l,8095,8045
13,2,l,8045,7995
22,9,l,7995,7945
18,11,l,7945,7895
26,11,l,7895,7845
